"Country"	"variable"	"value"	"Year"
"Afghanistan"	"Estimated prevalence of obesity (% of all adults)"	3,3	"2014"
"Albania"	"Estimated prevalence of obesity (% of all adults)"	16,8	"2014"
"Algeria"	"Estimated prevalence of obesity (% of all adults)"	22,7	"2014"
"Angola"	"Estimated prevalence of obesity (% of all adults)"	8,5	"2014"
"Antigua and Barbuda"	"Estimated prevalence of obesity (% of all adults)"	28,9	"2014"
"Argentina"	"Estimated prevalence of obesity (% of all adults)"	28,4	"2014"
"Armenia"	"Estimated prevalence of obesity (% of all adults)"	18,9	"2014"
"Australia"	"Estimated prevalence of obesity (% of all adults)"	27,7	"2014"
"Austria"	"Estimated prevalence of obesity (% of all adults)"	19,4	"2014"
"Azerbaijan"	"Estimated prevalence of obesity (% of all adults)"	21,7	"2014"
"Bahamas, The"	"Estimated prevalence of obesity (% of all adults)"	31,1	"2014"
"Bahrain"	"Estimated prevalence of obesity (% of all adults)"	28,9	"2014"
"Bangladesh"	"Estimated prevalence of obesity (% of all adults)"	3,3	"2014"
"Barbados"	"Estimated prevalence of obesity (% of all adults)"	26,2	"2014"
"Belarus"	"Estimated prevalence of obesity (% of all adults)"	22,2	"2014"
"Belgium"	"Estimated prevalence of obesity (% of all adults)"	21,4	"2014"
"Belize"	"Estimated prevalence of obesity (% of all adults)"	21,7	"2014"
"Benin"	"Estimated prevalence of obesity (% of all adults)"	8,2	"2014"
"Bhutan"	"Estimated prevalence of obesity (% of all adults)"	6	"2014"
"Bolivia"	"Estimated prevalence of obesity (% of all adults)"	17,8	"2014"
"Bosnia and Herzegovina"	"Estimated prevalence of obesity (% of all adults)"	15	"2014"
"Botswana"	"Estimated prevalence of obesity (% of all adults)"	19,4	"2014"
"Brazil"	"Estimated prevalence of obesity (% of all adults)"	20,7	"2014"
"Brunei Darussalam"	"Estimated prevalence of obesity (% of all adults)"	16,9	"2014"
"Bulgaria"	"Estimated prevalence of obesity (% of all adults)"	21	"2014"
"Burkina Faso"	"Estimated prevalence of obesity (% of all adults)"	5,6	"2014"
"Burundi"	"Estimated prevalence of obesity (% of all adults)"	3,1	"2014"
"Cabo Verde"	"Estimated prevalence of obesity (% of all adults)"	12,5	"2014"
"Cambodia"	"Estimated prevalence of obesity (% of all adults)"	2,9	"2014"
"Cameroon"	"Estimated prevalence of obesity (% of all adults)"	10,2	"2014"
"Canada"	"Estimated prevalence of obesity (% of all adults)"	27,8	"2014"
"Central African Republic"	"Estimated prevalence of obesity (% of all adults)"	4,7	"2014"
